Data Source Name,File Name,File Path,File Type,Step Name,DD Name,DISP,Program Name,Logical Name,Copybook Record Name,Copybook File Path,Access Type,System Program,Data Source Type
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX.PATH,TRANIDX.jcl,demo/jcl/TRANIDX.jcl,JCL,STEP25,,,IDCAMS,,,,CREATE,Yes,VSAM PATH
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,CBEXPORT.cbl,demo/cbl/CBEXPORT.cbl,COBOL,,TRANSACT,,,TRANSACTION-INPUT,TRAN-RECORD,demo/cpy/CVTRA05Y.cpy,READ,,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,CBEXPORT.jcl,demo/jcl/CBEXPORT.jcl,JCL,STEP02,TRANSACT,SHR,CBEXPORT,,,,,No,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,CBTRN02C.cbl,demo/cbl/CBTRN02C.cbl,COBOL,,TRANFILE,,,TRANSACT-FILE,TRAN-RECORD,demo/cpy/CVTRA05Y.cpy,WRITE,,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,COBIL00C.cbl,demo/cbl/COBIL00C.cbl,COBOL,,,,,TRANSACT,TRAN-RECORD,demo/cpy/CVTRA05Y.cpy,READ; WRITE,,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,COMBTRAN.jcl,demo/jcl/COMBTRAN.jcl,JCL,STEP10,TRANVSAM,SHR,IDCAMS,,,,WRITE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,COTRN00C.cbl,demo/cbl/COTRN00C.cbl,COBOL,,,,,TRANSACT,TRAN-RECORD,demo/cpy/CVTRA05Y.cpy,READ,,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,COTRN01C.cbl,demo/cbl/COTRN01C.cbl,COBOL,,,,,TRANSACT,TRAN-RECORD,demo/cpy/CVTRA05Y.cpy,READ,,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,COTRN02C.cbl,demo/cbl/COTRN02C.cbl,COBOL,,,,,TRANSACT,TRAN-RECORD,demo/cpy/CVTRA05Y.cpy,READ; WRITE,,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,STEP010,SORTIN,SHR,SORT,,,,READ,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,POSTTRAN.jcl,demo/jcl/POSTTRAN.jcl,JCL,STEP15,TRANFILE,SHR,CBTRN02C,,,,,No,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,TRANBKP.jcl,demo/jcl/TRANBKP.jcl,JCL,STEP05R.PRC001,FILEIN,SHR,IDCAMS,,,,READ,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,TRANBKP.jcl,demo/jcl/TRANBKP.jcl,JCL,STEP05,,,IDCAMS,,,,DELETE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,TRANBKP.jcl,demo/jcl/TRANBKP.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP05,,,IDCAMS,,,,DELETE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP15,TRANVSAM,SHR,IDCAMS,,,,WRITE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP20,,,IDCAMS,,,,READ,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP30,,,IDCAMS,,,,READ,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,TRANIDX.jcl,demo/jcl/TRANIDX.jcl,JCL,STEP20,,,IDCAMS,,,,READ,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,TRANIDX.jcl,demo/jcl/TRANIDX.jcl,JCL,STEP30,,,IDCAMS,,,,READ,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS,TRANREPT.jcl,demo/jcl/TRANREPT.jcl,JCL,STEP05R.PRC001,FILEIN,SHR,IDCAMS,,,,READ,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS.DATA,TRANBKP.jcl,demo/jcl/TRANBKP.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM DATA
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS.DATA,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM DATA
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS.INDEX,TRANBKP.jcl,demo/jcl/TRANBKP.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM INDEX
AWS.M2.CARDDEMO.TRANSACT.VSAM.KSDS.INDEX,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM INDEX
AWS.M2.CARDDEMO.TRANTYPE.BKUP,DEFGDGD.jcl,demo/jcl/DEFGDGD.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,GDG BASE
AWS.M2.CARDDEMO.TRANTYPE.BKUP,DEFGDGD.jcl,demo/jcl/DEFGDGD.jcl,JCL,STEP20,SYSUT2,"NEW,CATLG",IEBGENER,,,,WRITE,Yes,GDG BASE
AWS.M2.CARDDEMO.TRANTYPE.BKUP,TRANEXTR.jcl,demo/app-transaction-type-db2/jcl/TRANEXTR.jcl,JCL,STEP10,SYSUT2,"NEW,CATLG",IEBGENER,,,,WRITE,Yes,GDG Base
AWS.M2.CARDDEMO.TRANTYPE.PS,DEFGDGD.jcl,demo/jcl/DEFGDGD.jcl,JCL,STEP20,SYSUT1,SHR,IEBGENER,,,,READ,Yes,Non VSAM
AWS.M2.CARDDEMO.TRANTYPE.PS,TRANEXTR.jcl,demo/app-transaction-type-db2/jcl/TRANEXTR.jcl,JCL,STEP10,SYSUT1,SHR,IEBGENER,,,,READ,Yes,Non VSAM
AWS.M2.CARDDEMO.TRANTYPE.PS,TRANEXTR.jcl,demo/app-transaction-type-db2/jcl/TRANEXTR.jcl,JCL,STEP30,DD01,"MOD,DELETE,DELETE",IEFBR14,,,,DELETE,Yes,Non VSAM
AWS.M2.CARDDEMO.TRANTYPE.PS,TRANEXTR.jcl,demo/app-transaction-type-db2/jcl/TRANEXTR.jcl,JCL,STEP40,SYSREC00,"NEW,CATLG,DELETE",IKJEFT01/DSNTIAUL,,,,WRITE,No,Non VSAM
AWS.M2.CARDDEMO.TRANTYPE.PS,TRANTYPE.jcl,demo/jcl/TRANTYPE.jcl,JCL,STEP15,TRANTYPE,SHR,IDCAMS,,,,READ,Yes,Non VSAM
AWS.M2.CARDDEMO.TRANTYPE.VSAM.KSDS,CBTRN03C.cbl,demo/cbl/CBTRN03C.cbl,COBOL,,TRANTYPE,,,TRANTYPE-FILE,TRAN-TYPE-RECORD,demo/cpy/CVTRA03Y.cpy,READ,,VSAM KSDS
AWS.M2.CARDDEMO.TRANTYPE.VSAM.KSDS,TRANREPT.jcl,demo/jcl/TRANREPT.jcl,JCL,STEP10R,TRANTYPE,SHR,CBTRN03C,,,,,No,VSAM KSDS
AWS.M2.CARDDEMO.TRANTYPE.VSAM.KSDS,TRANTYPE.jcl,demo/jcl/TRANTYPE.jcl,JCL,STEP05,,,IDCAMS,,,,DELETE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANTYPE.VSAM.KSDS,TRANTYPE.jcl,demo/jcl/TRANTYPE.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANTYPE.VSAM.KSDS,TRANTYPE.jcl,demo/jcl/TRANTYPE.jcl,JCL,STEP15,TTYPVSAM,OLD,IDCAMS,,,,WRITE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANTYPE.VSAM.KSDS.DATA,TRANTYPE.jcl,demo/jcl/TRANTYPE.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM DATA
AWS.M2.CARDDEMO.TRANTYPE.VSAM.KSDS.INDEX,TRANTYPE.jcl,demo/jcl/TRANTYPE.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM INDEX
AWS.M2.CARDDEMO.TRXFL.DATA,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,DELDEF01,,,IDCAMS,,,,CREATE,Yes,Dataset
AWS.M2.CARDDEMO.TRXFL.INDEX,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,DELDEF01,,,IDCAMS,,,,CREATE,Yes,Dataset
AWS.M2.CARDDEMO.TRXFL.SEQ,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,DELDEF01,,,IDCAMS,,,,DELETE,Yes,Dataset
AWS.M2.CARDDEMO.TRXFL.SEQ,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,STEP010,SORTOUT,"NEW,CATLG,DELETE",SORT,,,,WRITE,Yes,Dataset
AWS.M2.CARDDEMO.TRXFL.SEQ,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,STEP020,INFILE,SHR,IDCAMS,,,,READ,Yes,Dataset
AWS.M2.CARDDEMO.TRXFL.VSAM.KSDS,CBSTM03B.cbl,demo/cbl/CBSTM03B.CBL,COBOL,,TRNXFILE,,,TRNX-FILE,,,READ,,VSAM KSDS
AWS.M2.CARDDEMO.TRXFL.VSAM.KSDS,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,DELDEF01,,,IDCAMS,,,,DELETE; CREATE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRXFL.VSAM.KSDS,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,STEP020,OUTFILE,SHR,IDCAMS,,,,WRITE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRXFL.VSAM.KSDS,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,STEP040,TRNXFILE,SHR,CBSTM03B,,,,,No,VSAM KSDS
AWS.M2.CARDDEMO.USRSEC.PS,DUSRSECJ.jcl,demo/jcl/DUSRSECJ.jcl,JCL,PREDEL,DD01,"MOD,DELETE,DELETE",IEFBR14,,,,DELETE,Yes,Non VSAM
AWS.M2.CARDDEMO.USRSEC.PS,DUSRSECJ.jcl,demo/jcl/DUSRSECJ.jcl,JCL,STEP01,SYSUT2,"NEW,CATLG,DELETE",IEBGENER,,,,WRITE,Yes,Non VSAM
AWS.M2.CARDDEMO.USRSEC.PS,DUSRSECJ.jcl,demo/jcl/DUSRSECJ.jcl,JCL,STEP03,IN,SHR,IDCAMS,,,,READ,Yes,Non VSAM
AWS.M2.CARDDEMO.USRSEC.VSAM.ESDS,ESDSRRDS.jcl,demo/jcl/ESDSRRDS.jcl,JCL,STEP02,,,IDCAMS,,,,DELETE; CREATE,Yes,VSAM ESDS
AWS.M2.CARDDEMO.USRSEC.VSAM.ESDS,ESDSRRDS.jcl,demo/jcl/ESDSRRDS.jcl,JCL,STEP03,OUT,SHR,IDCAMS,,,,WRITE,Yes,VSAM ESDS
AWS.M2.CARDDEMO.USRSEC.VSAM.ESDS.DAT,ESDSRRDS.jcl,demo/jcl/ESDSRRDS.jcl,JCL,STEP02,,,IDCAMS,,,,CREATE,Yes,Dataset
AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS,COSGN00C.cbl,demo/cbl/COSGN00C.cbl,COBOL,,,,,USRSEC,SEC-USER-DATA,demo/cpy/CSUSR01Y.cpy,READ,,VSAM KSDS
AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS,COUSR00C.cbl,demo/cbl/COUSR00C.cbl,COBOL,,,,,USRSEC,SEC-USER-DATA,demo/cpy/CSUSR01Y.cpy,READ,,VSAM KSDS
AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS,COUSR01C.cbl,demo/cbl/COUSR01C.cbl,COBOL,,,,,USRSEC,SEC-USER-DATA,demo/cpy/CSUSR01Y.cpy,WRITE,,VSAM KSDS
AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS,COUSR02C.cbl,demo/cbl/COUSR02C.cbl,COBOL,,,,,USRSEC,SEC-USER-DATA,demo/cpy/CSUSR01Y.cpy,READ; UPDATE; WRITE,,VSAM KSDS
AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS,COUSR03C.cbl,demo/cbl/COUSR03C.cbl,COBOL,,,,,USRSEC,SEC-USER-DATA,demo/cpy/CSUSR01Y.cpy,DELETE; READ,,VSAM KSDS
AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS,DUSRSECJ.jcl,demo/jcl/DUSRSECJ.jcl,JCL,STEP02,,,IDCAMS,,,,DELETE; CREATE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS,DUSRSECJ.jcl,demo/jcl/DUSRSECJ.jcl,JCL,STEP03,OUT,SHR,IDCAMS,,,,WRITE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS.DAT,DUSRSECJ.jcl,demo/jcl/DUSRSECJ.jcl,JCL,STEP02,,,IDCAMS,,,,CREATE,Yes,VSAM DATA
AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS.IDX,DUSRSECJ.jcl,demo/jcl/DUSRSECJ.jcl,JCL,STEP02,,,IDCAMS,,,,CREATE,Yes,VSAM INDEX
AWS.M2.CARDDEMO.USRSEC.VSAM.RRDS,ESDSRRDS.jcl,demo/jcl/ESDSRRDS.jcl,JCL,STEP04,,,IDCAMS,,,,DELETE; CREATE,Yes,VSAM RRDS
AWS.M2.CARDDEMO.USRSEC.VSAM.RRDS,ESDSRRDS.jcl,demo/jcl/ESDSRRDS.jcl,JCL,STEP05,OUT,SHR,IDCAMS,,,,WRITE,Yes,VSAM RRDS
AWS.M2.CARDDEMO.USRSEC.VSAM.RRDS.DAT,ESDSRRDS.jcl,demo/jcl/ESDSRRDS.jcl,JCL,STEP04,,,IDCAMS,,,,CREATE,Yes,Dataset
AWS.M2.CARDEMO.FTP.TEST,FTPJCL.JCL,demo/jcl/FTPJCL.JCL,JCL,STEP1,,,FTP,,,,READ,Yes,Dataset
AWS.M2.CARDEMO.FTP.TEST,INTRDRJ1.JCL,demo/jcl/INTRDRJ1.JCL,JCL,IDCAMS,IN,SHR,IDCAMS,,,,,Yes,Dataset
AWS.M2.CARDEMO.FTP.TEST.BKUP,INTRDRJ1.JCL,demo/jcl/INTRDRJ1.JCL,JCL,IDCAMS,OUT,SHR,IDCAMS,,,,,Yes,Dataset
AWS.M2.CARDEMO.FTP.TEST.BKUP,INTRDRJ2.JCL,demo/jcl/INTRDRJ2.JCL,JCL,IDCAMS,IN,SHR,IDCAMS,,,,,Yes,Dataset
AWS.M2.CARDEMO.FTP.TEST.BKUP.INTRDR,INTRDRJ2.JCL,demo/jcl/INTRDRJ2.JCL,JCL,IDCAMS,OUT,SHR,IDCAMS,,,,,Yes,Dataset
AWS.M2.LBD.TXT2PDF.EXEC,TXT2PDF1.JCL,demo/jcl/TXT2PDF1.JCL,JCL,TXT2PDF,SYSEXEC,SHR,IKJEFT1B,,,,,Yes,Dataset
CARDDEMO.AUTHFRDS,COPAUS2C.cbl,demo/app-authorization-ims-db2-mq/cbl/COPAUS2C.cbl,COBOL,,,,,CARDDEMO.AUTHFRDS,,,INSERT; UPDATE,,Database
CARDDEMO.TRANSACTION_TYPE,COTRTLIC.cbl,demo/app-transaction-type-db2/cbl/COTRTLIC.cbl,COBOL,,,,,CARDDEMO.TRANSACTION_TYPE,,,DELETE; SELECT; UPDATE,,Database
CARDDEMO.TRANSACTION_TYPE,COTRTUPC.cbl,demo/app-transaction-type-db2/cbl/COTRTUPC.cbl,COBOL,,,,,CARDDEMO.TRANSACTION_TYPE,,,DELETE; INSERT; SELECT; UPDATE,,Database
IMS.DBDLIB,CBPAUP0C.cbl,demo/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,COBOL,,IMS,,,,,,,,Dataset
IMS.DBDLIB,CBPAUP0J.jcl,demo/app-authorization-ims-db2-mq/jcl/CBPAUP0J.jcl,JCL,STEP01,IMS,SHR,DFSRRC00/CBPAUP0C,,,,,No,Dataset
IMS.PROCLIB,CBPAUP0C.cbl,demo/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,COBOL,,PROCLIB,,,,,,,,Dataset
IMS.PROCLIB,CBPAUP0J.jcl,demo/app-authorization-ims-db2-mq/jcl/CBPAUP0J.jcl,JCL,STEP01,PROCLIB,SHR,DFSRRC00/CBPAUP0C,,,,,No,Dataset
IMS.PSBLIB,CBPAUP0C.cbl,demo/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,COBOL,,IMS,,,,,,,,Dataset
IMS.PSBLIB,CBPAUP0J.jcl,demo/app-authorization-ims-db2-mq/jcl/CBPAUP0J.jcl,JCL,STEP01,IMS,SHR,DFSRRC00/CBPAUP0C,,,,,No,Dataset
IMS.SDFSRESL,CBPAUP0C.cbl,demo/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,COBOL,,DFSRESLB,,,,,,,,"Missing [Dataset, PDS]"
IMS.SDFSRESL,CBPAUP0C.cbl,demo/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,COBOL,,DFSSEL,,,,,,,,"Missing [Dataset, PDS]"
IMS.SDFSRESL,CBPAUP0J.jcl,demo/app-authorization-ims-db2-mq/jcl/CBPAUP0J.jcl,JCL,STEP01,DFSRESLB,SHR,DFSRRC00/CBPAUP0C,,,,,No,"Missing [Dataset, PDS]"
IMS.SDFSRESL,CBPAUP0J.jcl,demo/app-authorization-ims-db2-mq/jcl/CBPAUP0J.jcl,JCL,STEP01,DFSSEL,SHR,DFSRRC00/CBPAUP0C,,,,,No,"Missing [Dataset, PDS]"
INPFILE,COBTUPDT.cbl,demo/app-transaction-type-db2/cbl/COBTUPDT.cbl,COBOL,,INPFILE,,,TR-RECORD,,,READ,,Dataset
INPFILE,MNTTRDB2.jcl,demo/app-transaction-type-db2/jcl/MNTTRDB2.jcl,JCL,STEP1,INPFILE,SHR,IKJEFT01/COBTUPDT,,,,,No,Dataset
OEM.CICSTS.DFHCSD,CBADMCDJ.jcl,demo/jcl/CBADMCDJ.jcl,JCL,STEP1,DFHCSD,SHR,DFHCSDUP,,,,,Yes,Dataset
OEM.IMS.IMSP.DBDLIB,DBPAUTP0.jcl,demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl,JCL,UNLOAD,IMS,SHR,DFSRRC00/DFSURGU0,,,,,No,Dataset
OEM.IMS.IMSP.DBDLIB,DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,COBOL,,IMS,,,,,,,,Dataset
OEM.IMS.IMSP.DBDLIB,LOADPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/LOADPADB.JCL,JCL,STEP01,IMS,SHR,DFSRRC00/PAUDBLOD,,,,,No,Dataset
OEM.IMS.IMSP.DBDLIB,PAUDBLOD.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,COBOL,,IMS,,,,,,,,Dataset
OEM.IMS.IMSP.DBDLIB,PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,COBOL,,IMS,,,,,,,,Dataset
OEM.IMS.IMSP.DBDLIB,UNLDGSAM.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDGSAM.JCL,JCL,STEP01,IMS,SHR,DFSRRC00/DBUNLDGS,,,,,No,Dataset
OEM.IMS.IMSP.DBDLIB,UNLDPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDPADB.JCL,JCL,STEP01,IMS,SHR,DFSRRC00/PAUDBUNL,,,,,No,Dataset
OEM.IMS.IMSP.PAUTHDB,DBPAUTP0.jcl,demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl,JCL,UNLOAD,DDPAUTP0,SHR,DFSRRC00/DFSURGU0,,,,,No,Dataset
OEM.IMS.IMSP.PAUTHDB,DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,COBOL,,DDPAUTP0,,,,,,,,Dataset
OEM.IMS.IMSP.PAUTHDB,PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,COBOL,,DDPAUTP0,,,,,,,,Dataset
OEM.IMS.IMSP.PAUTHDB,UNLDGSAM.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDGSAM.JCL,JCL,STEP01,DDPAUTP0,SHR,DFSRRC00/DBUNLDGS,,,,READ,No,Dataset
OEM.IMS.IMSP.PAUTHDB,UNLDPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDPADB.JCL,JCL,STEP01,DDPAUTP0,SHR,DFSRRC00/PAUDBUNL,,,,READ,No,Dataset
OEM.IMS.IMSP.PAUTHDBX,DBPAUTP0.jcl,demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl,JCL,UNLOAD,DDPAUTX0,SHR,DFSRRC00/DFSURGU0,,,,,No,Dataset
OEM.IMS.IMSP.PAUTHDBX,DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,COBOL,,DDPAUTX0,,,,,,,,Dataset
OEM.IMS.IMSP.PAUTHDBX,PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,COBOL,,DDPAUTX0,,,,,,,,Dataset
OEM.IMS.IMSP.PAUTHDBX,UNLDGSAM.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDGSAM.JCL,JCL,STEP01,DDPAUTX0,SHR,DFSRRC00/DBUNLDGS,,,,,No,Dataset
OEM.IMS.IMSP.PAUTHDBX,UNLDPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDPADB.JCL,JCL,STEP01,DDPAUTX0,SHR,DFSRRC00/PAUDBUNL,,,,,No,Dataset
OEM.IMS.IMSP.PSBLIB,DBPAUTP0.jcl,demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl,JCL,UNLOAD,IMS,SHR,DFSRRC00/DFSURGU0,,,,,No,Dataset
OEM.IMS.IMSP.PSBLIB,DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,COBOL,,IMS,,,,,,,,Dataset
OEM.IMS.IMSP.PSBLIB,LOADPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/LOADPADB.JCL,JCL,STEP01,IMS,SHR,DFSRRC00/PAUDBLOD,,,,,No,Dataset
OEM.IMS.IMSP.PSBLIB,PAUDBLOD.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,COBOL,,IMS,,,,,,,,Dataset
OEM.IMS.IMSP.PSBLIB,PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,COBOL,,IMS,,,,,,,,Dataset
OEM.IMS.IMSP.PSBLIB,UNLDGSAM.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDGSAM.JCL,JCL,STEP01,IMS,SHR,DFSRRC00/DBUNLDGS,,,,,No,Dataset
OEM.IMS.IMSP.PSBLIB,UNLDPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDPADB.JCL,JCL,STEP01,IMS,SHR,DFSRRC00/PAUDBUNL,,,,,No,Dataset
OEM.IMS.IMSP.RECON1,DBPAUTP0.jcl,demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl,JCL,UNLOAD,RECON1,SHR,DFSRRC00/DFSURGU0,,,,,No,Dataset
OEM.IMS.IMSP.RECON2,DBPAUTP0.jcl,demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl,JCL,UNLOAD,RECON2,SHR,DFSRRC00/DFSURGU0,,,,,No,Dataset
OEM.IMS.IMSP.RECON3,DBPAUTP0.jcl,demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl,JCL,UNLOAD,RECON3,SHR,DFSRRC00/DFSURGU0,,,,,No,Dataset
OEMA.IMS.IMSP.SDFSRESL,DBPAUTP0.jcl,demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl,JCL,UNLOAD,DFSRESLB,SHR,DFSRRC00/DFSURGU0,,,,,No,"Missing [Dataset, PDS]"
OEMA.IMS.IMSP.SDFSRESL,DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,COBOL,,DFSRESLB,,,,,,,,"Missing [Dataset, PDS]"
OEMA.IMS.IMSP.SDFSRESL,LOADPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/LOADPADB.JCL,JCL,STEP01,DFSRESLB,SHR,DFSRRC00/PAUDBLOD,,,,,No,"Missing [Dataset, PDS]"
OEMA.IMS.IMSP.SDFSRESL,PAUDBLOD.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,COBOL,,DFSRESLB,,,,,,,,"Missing [Dataset, PDS]"
OEMA.IMS.IMSP.SDFSRESL,PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,COBOL,,DFSRESLB,,,,,,,,"Missing [Dataset, PDS]"
OEMA.IMS.IMSP.SDFSRESL,UNLDGSAM.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDGSAM.JCL,JCL,STEP01,DFSRESLB,SHR,DFSRRC00/DBUNLDGS,,,,,No,"Missing [Dataset, PDS]"
OEMA.IMS.IMSP.SDFSRESL,UNLDPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDPADB.JCL,JCL,STEP01,DFSRESLB,SHR,DFSRRC00/PAUDBUNL,,,,,No,"Missing [Dataset, PDS]"
OEMPP.IMS.V15R01MB.PROCLIB(DFSVSMDB),DBPAUTP0.jcl,demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl,JCL,UNLOAD,DFSVSAMP,SHR,DFSRRC00/DFSURGU0,,,,,No,Dataset
OEMPP.IMS.V15R01MB.PROCLIB(DFSVSMDB),DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,COBOL,,DFSVSAMP,,,,,,,,Dataset
OEMPP.IMS.V15R01MB.PROCLIB(DFSVSMDB),LOADPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/LOADPADB.JCL,JCL,STEP01,DFSVSAMP,SHR,DFSRRC00/PAUDBLOD,,,,,No,Dataset
OEMPP.IMS.V15R01MB.PROCLIB(DFSVSMDB),PAUDBLOD.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,COBOL,,DFSVSAMP,,,,,,,,Dataset
OEMPP.IMS.V15R01MB.PROCLIB(DFSVSMDB),PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,COBOL,,DFSVSAMP,,,,,,,,Dataset
